station_cd,station_g_cd,station_name,station_name_k,station_name_r,line_cd,pref_cd,post,address,lon,lat,open_ymd,close_ymd,e_status,e_sort
1121326,1121326,吉里吉里,,,11213,3,028-1101,上閉伊郡大槌町吉里吉里,141.938648,39.36957,0000-00-00,0000-00-00,2,1121326
1121327,1121327,大槌,,,11213,3,028-1116,上閉伊郡大槌町本町,141.902894,39.356734,0000-00-00,0000-00-00,2,1121327
1121328,1121328,鵜住居,,,11213,3,026-0301,釜石市鵜住居町,141.887976,39.32694,0000-00-00,0000-00-00,2,1121328
1121329,1121329,両石,,,11213,3,026-0304,釜石市両石町,141.889112,39.308062,0000-00-00,0000-00-00,2,1121329
1121330,1120924,釜石,,,11213,3,026-0031,釜石市鈴子町,141.87267,39.273321,0000-00-00,0000-00-00,2,1121330
1121401,1121401,新津,,,11214,15,956-0864,新潟市秋葉区新津本町１丁目,139.121445,37.800383,0000-00-00,0000-00-00,0,1121401
1121402,1121402,京ケ瀬,,,11214,15,959-2134,新潟県阿賀野市小河原453,139.178322,37.817616,0000-00-00,0000-00-00,0,1121402
1121403,1121403,水原,,,11214,15,959-2002,阿賀野市下条,139.217237,37.836712,0000-00-00,0000-00-00,0,1121403
1121404,1121404,神山,,,11214,15,959-1968,阿賀野市榎船渡,139.244691,37.862586,0000-00-00,0000-00-00,0,1121404
1121405,1121405,月岡,,,11214,15,959-2335,新発田市大字本田字中谷内,139.272488,37.889334,0000-00-00,0000-00-00,0,1121405
1121406,1121406,中浦,,,11214,15,959-2331,新発田市大字下飯塚,139.302689,37.912202,0000-00-00,0000-00-00,0,1121406
1121407,1121407,新発田,,,11214,15,957-0055,新発田市諏訪町１丁目,139.335189,37.94412,0000-00-00,0000-00-00,0,1121407
1121408,1121408,加治,,,11214,15,959-2451,新発田市下中,139.358535,37.976411,0000-00-00,0000-00-00,0,1121408
1121409,1121409,金塚,,,11214,15,959-2477,新発田市下小中山,139.37949,38.020178,0000-00-00,0000-00-00,0,1121409
1121410,1121410,中条,,,11214,15,959-2631,胎内市表町,139.397541,38.049342,0000-00-00,0000-00-00,0,1121410
1121411,1121411,平木田,,,11214,15,959-2614,胎内市平木田,139.427835,38.094338,0000-00-00,0000-00-00,0,1121411
1121412,1121412,坂町,,,11214,15,959-3132,村上市坂町,139.445838,38.119277,0000-00-00,0000-00-00,0,1121412
1121413,1121413,平林,,,11214,15,959-3435,村上市宿田,139.459045,38.150027,0000-00-00,0000-00-00,0,1121413
1121414,1121414,岩船町,,,11214,15,959-3446,村上市小口川,139.459643,38.183564,0000-00-00,0000-00-00,0,1121414
1121415,1121415,村上,,,11214,15,958-0854,村上市大字田端町,139.463306,38.219851,0000-00-00,0000-00-00,0,1121415
1121416,1121416,間島,,,11214,15,958-0005,村上市大字間島,139.450229,38.273078,0000-00-00,0000-00-00,0,1121416
1121417,1121417,越後早川,,,11214,15,958-0002,村上市大字早川字上境,139.449887,38.316185,0000-00-00,0000-00-00,0,1121417
1121418,1121418,桑川,,,11214,15,959-3665,村上市桑川,139.458838,38.375162,0000-00-00,0000-00-00,0,1121418
1121419,1121419,今川,,,11214,15,959-3662,村上市今川,139.468389,38.410081,0000-00-00,0000-00-00,0,1121419
1121420,1121420,越後寒川,,,11214,15,959-3653,村上市寒川,139.489948,38.448689,0000-00-00,0000-00-00,0,1121420
1121421,1121421,勝木,,,11214,15,959-3942,村上市勝木,139.517468,38.490315,0000-00-00,0000-00-00,0,1121421
1121422,1121422,府屋,,,11214,15,959-3907,村上市府屋,139.530452,38.513324,0000-00-00,0000-00-00,0,1121422
1121423,1121423,鼠ケ関,,,11214,6,999-7126,山形県鶴岡市鼠ヶ関乙156-2,139.548827,38.555433,0000-00-00,0000-00-00,0,1121423
1121424,1121424,小岩川,,,11214,6,999-7122,鶴岡市小岩川,139.56583,38.590399,0000-00-00,0000-00-00,0,1121424
1121425,1121425,あつみ温泉,,,11214,6,999-7205,鶴岡市温海,139.587955,38.624217,0000-00-00,0000-00-00,0,1121425
1121426,1121426,五十川,,,11214,6,999-7207,鶴岡市五十川,139.616182,38.670658,0000-00-00,0000-00-00,0,1121426
1121427,1121427,小波渡,,,11214,6,999-7462,鶴岡市大字小波渡,139.649836,38.692484,0000-00-00,0000-00-00,0,1121427
